Date,Open,High,Low,Close,Adj Close,Volume
2022-03-16,56.926666,58.033333,56.473331,57.773335,55.828384,1757400
2022-03-17,57.766666,58.716667,57.633331,58.700001,56.723858,1538700
2022-03-18,58.880001,59.973331,58.730000,59.743332,57.732071,2848800
2022-03-21,59.743332,59.820000,58.883331,59.213333,57.219913,1571400
2022-03-22,59.333332,59.476665,58.646667,59.169998,57.178032,2064000
2022-03-23,59.049999,59.049999,58.009998,58.046665,56.092522,1488300
2022-03-24,58.223331,58.430000,57.783333,58.209999,56.250355,1007700
2022-03-25,58.436668,58.673332,58.066666,58.426666,56.459728,1391100
2022-03-28,58.343334,59.213333,58.340000,59.180000,57.187691,1322700
2022-03-29,59.580002,60.700001,59.573334,60.439999,58.405281,2312100
2022-03-30,60.320000,60.933334,60.066666,60.626667,58.585663,2478300
2022-03-31,60.866669,61.293331,59.293331,59.400002,57.400295,3237600
2022-04-01,59.939999,60.693333,59.386665,60.639999,58.598549,1910400
2022-04-04,60.743332,61.116669,60.333332,60.786667,58.740276,2622300
2022-04-05,60.639999,61.563332,60.573334,60.680000,58.637196,2528100
2022-04-06,60.133331,61.389999,59.856667,61.193333,59.133255,2649900
2022-04-07,60.950001,61.286667,60.543331,61.000000,58.946426,1977600
2022-04-08,61.313332,61.490002,60.770000,61.139999,59.081711,1729800
2022-04-11,60.793331,61.076668,59.730000,60.776669,58.730618,2455200
2022-04-12,61.033333,61.430000,59.733334,60.020000,57.999424,2004900
2022-04-13,60.160000,60.599998,59.666668,60.463333,58.427826,1190400
2022-04-14,60.570000,60.790001,59.476665,59.516666,57.513031,1279800
2022-04-18,59.176666,59.613335,58.883331,59.446667,57.445389,1360200
2022-04-19,59.263332,60.400002,59.263332,60.346668,58.315094,1891200
2022-04-20,59.833332,59.833332,57.243332,57.603333,55.664108,3783900
2022-04-21,57.703335,57.873333,56.233334,56.480000,54.578598,3123300
2022-04-22,56.396667,56.726665,55.586666,55.616669,53.744324,2491200
2022-04-25,55.336666,55.796665,54.900002,55.546665,53.676674,3533400
2022-04-26,55.533333,55.693333,53.866669,53.889999,52.075787,2699700
2022-04-27,53.776669,54.480000,53.283333,53.349998,51.553959,6241500
2022-04-28,53.536667,54.413334,53.143333,54.183334,52.359245,4019700
2022-04-29,53.910000,54.026669,52.353333,52.456669,50.690712,2777700
2022-05-02,52.416668,52.926666,51.113335,52.230000,50.471672,2764800
2022-05-03,52.053333,52.939999,52.033333,52.613335,50.842106,2318400
2022-05-04,52.599998,53.466667,52.116669,53.366669,51.570072,4362900
2022-05-05,52.946667,53.259998,51.180000,51.633331,49.895084,2554500
2022-05-06,51.306667,51.406666,50.189999,50.763332,49.054375,2025000
2022-05-09,50.196667,50.216667,48.566666,48.726665,47.086277,2208600
2022-05-10,49.526669,49.956669,48.070000,48.593334,46.957436,3365400
2022-05-11,48.346668,49.113335,47.709999,47.743332,46.136047,2997600
2022-05-12,47.533333,48.423332,47.073334,48.110001,46.490368,2364300
2022-05-13,48.423332,49.506668,48.423332,49.163334,47.508244,2565600
2022-05-16,49.099998,49.226665,48.503334,48.709999,47.070164,1954800
2022-05-17,49.546665,49.753334,49.110001,49.596668,47.926991,2902500
2022-05-18,49.286667,49.286667,47.209999,47.363335,45.768845,2166600
2022-05-19,46.966667,47.923332,46.770000,47.693333,46.087730,3315300
2022-05-20,48.086666,48.779999,47.846668,48.709999,47.070164,5956500
2022-05-23,49.150002,49.480000,48.573334,49.236668,47.579109,2484600
2022-05-24,48.810001,49.086666,48.033333,48.876667,47.231232,2338800
2022-05-25,48.740002,49.463333,48.566666,49.166668,47.511467,2639700
2022-05-26,49.403332,50.516666,49.169998,50.310001,48.616306,2370600
2022-05-27,50.840000,51.896667,50.393333,51.880001,50.133461,2790000
2022-05-31,51.430000,52.123333,51.326668,51.753334,50.011051,4908600
2022-06-01,51.813332,52.130001,50.726665,50.756668,49.047932,1746000
2022-06-02,50.869999,51.606667,50.470001,51.603333,49.866104,2674200
2022-06-03,51.366669,51.493332,50.910000,51.356667,49.627739,1748100
2022-06-06,51.743332,52.246666,51.186668,51.369999,49.640625,2028000
2022-06-07,50.953335,51.599998,50.796665,51.586666,49.849995,1667700
2022-06-08,51.396667,52.106667,51.103333,51.303333,49.576195,2175000
2022-06-09,51.080002,51.573334,50.836666,50.916668,49.395119,2419800
2022-06-10,50.436668,50.636665,49.583332,50.063332,48.567272,3722100
2022-06-13,48.919998,49.480000,48.290001,48.953335,47.490448,3696600
2022-06-14,49.049999,49.073334,48.060001,48.623333,47.170311,4787400
2022-06-15,48.776669,50.536667,48.746666,49.973331,48.479969,3161400
2022-06-16,49.310001,49.779999,48.753334,49.516666,48.036945,3531300
2022-06-17,49.473331,50.189999,49.200001,49.616669,48.133961,7043100
2022-06-21,50.000000,51.186668,50.000000,50.876667,49.356308,3176100
2022-06-22,50.466667,51.656666,50.000000,51.203335,49.673206,2798400
2022-06-23,51.576668,52.876667,51.413334,52.753334,51.176891,4616400
2022-06-24,53.040001,53.333332,52.610001,53.093334,51.506729,4764000
2022-06-27,53.270000,53.323334,52.503334,52.643333,51.070175,2247000
2022-06-28,52.643333,53.113335,51.520000,51.553333,50.012753,1933200
2022-06-29,51.516666,51.673332,50.630001,51.020000,49.495354,2322300
2022-06-30,50.516666,51.346668,50.330002,50.846668,49.327206,2358000
2022-07-01,50.770000,52.043331,50.663334,51.863335,50.313496,2646900
2022-07-05,51.669998,52.580002,51.200001,52.496666,50.927898,2408700
2022-07-06,52.736668,53.306667,52.163334,52.263332,50.701534,2733600
2022-07-07,52.173332,52.633331,51.930000,52.233334,50.672432,2158800
2022-07-08,52.153332,52.493332,51.793331,52.186668,50.627167,2105400
2022-07-11,52.009998,52.766666,51.806667,52.543331,50.973167,1981800
2022-07-12,52.593334,53.323334,51.439999,51.590000,50.048325,3583500
2022-07-13,50.790001,51.753334,50.773335,51.446667,49.909271,1594200
2022-07-14,50.773335,51.336666,50.513332,51.173332,49.644108,1887600
2022-07-15,51.433334,52.363335,51.433334,52.356667,50.792084,1929000
2022-07-18,52.586666,52.820000,51.430000,51.593334,50.051559,2061300
